,Times (s),Current (A),Current_STD (A),Voltage (V)
374,64.62384796142578,0.01449007,0.0,3.6
375,64.79643750190735,0.01448676,0.0,3.6
376,64.95999026298523,0.01448516,0.0,3.6
377,65.13468408584595,0.01448666,0.0,3.6
378,65.3028769493103,0.01448491,0.0,3.6
379,65.483145236969,0.01448763,0.0,3.6
380,65.64126491546631,0.01448437,0.0,3.6
381,65.81193542480469,0.0144874,0.0,3.6
382,65.97577142715454,0.01448628,0.0,3.6
383,66.13655471801758,0.01448771,0.0,3.6
384,66.30092716217041,0.01448605,0.0,3.6
385,66.46998500823975,0.01448624,0.0,3.6
386,66.66028714179993,0.01448512,0.0,3.6
387,66.82844233512878,0.01448595,0.0,3.6
388,66.99947714805603,0.01448625,0.0,3.6
389,67.17309236526489,0.01448394,0.0,3.6
390,67.33631324768066,0.01448311,0.0,3.6
391,67.50866055488586,0.01448513,0.0,3.6
392,67.67604541778564,0.01448399,0.0,3.6
393,67.8490104675293,0.01448535,0.0,3.6
394,68.01667594909668,0.01448456,0.0,3.6
395,68.19306898117065,0.01448421,0.0,3.6
396,68.36174750328064,0.01448509,0.0,3.6
397,68.53083872795105,0.01448441,0.0,3.6
398,68.7014799118042,0.01448653,0.0,3.6
399,68.87125253677368,0.01448628,0.0,3.6
